K Santokie (WI),2011-2014,12,12,40.5,0,278,18,Apr-21,15.44,6.8,13.6,1,0,T20,Bowling
SMSM Senanayake (SL),2012-2014,17,16,55,0,300,18,Mar-14,16.66,5.45,18.3,0,0,T20,Bowling
SB Styris (NZ),2005-2010,31,21,51.3,0,349,18,3-May,19.38,6.77,17.1,0,0,T20,Bowling
LL Tsotsobe (SA),2009-2014,23,23,78,2,541,18,Mar-16,30.05,6.93,26,0,0,T20,Bowling
HA Varaiya (Kenya),2007-2013,25,24,77.2,2,461,18,2-Oct,25.61,5.96,25.7,0,0,T20,Bowling
LJ Wright (Eng),2007-2014,51,23,55,0,465,18,Feb-24,25.83,8.45,18.3,0,0,T20,Bowling
DAJ Bracewell (NZ),2011-2015,14,14,43.4,0,408,17,Mar-25,24,9.34,15.4,0,0,T20,Bowling
AG Cremer (Zim),2008-2015,16,15,48,1,323,17,3-Nov,19,6.72,16.9,0,0,T20,Bowling
AB Dinda (India),2009-2012,9,9,30,1,245,17,Apr-19,14.41,8.16,10.5,1,0,T20,Bowling
Z Khan (India),2006-2012,17,17,58.4,0,448,17,Apr-19,26.35,7.63,20.7,1,0,T20,Bowling
CK Langeveldt (SA),2005-2010,9,9,33,0,241,17,Apr-19,14.17,7.3,11.6,1,0,T20,Bowling
R McLaren (SA),2009-2014,12,12,43.5,0,332,17,May-19,19.52,7.57,15.4,0,1,T20,Bowling
SPD Smith (Aus),2010-2015,22,17,48.3,1,377,17,Mar-20,22.17,7.77,17.1,0,0,T20,Bowling
MC Sorensen (Ire),2012-2015,18,16,48,1,359,17,Mar-20,21.11,7.47,16.9,0,0,T20,Bowling
SJ Benn (WI),2008-2015,18,18,62,3,456,16,4-Jun,28.5,7.35,23.2,1,0,T20,Bowling
RS Bopara (Eng),2008-2014,38,21,53.4,1,387,16,4-Oct,24.18,7.21,20.1,1,0,T20,Bowling
PW Borren (Neth),2008-2015,35,27,82.4,0,568,16,Feb-19,35.5,6.87,31,0,0,T20,Bowling
E Chigumbura (Zim),2006-2015,33,20,45,0,411,16,Apr-31,25.68,9.13,16.8,1,0,T20,Bowling
PD Collingwood (Eng),2005-2011,35,19,37,0,329,16,Apr-22,20.56,8.89,13.8,1,0,T20,Bowling
GD Drummond (Scot),2008-2013,17,17,55,1,381,16,Mar-20,23.81,6.92,20.6,0,0,T20,Bowling
JP Duminy (SA),2007-2015,63,31,58.1,0,417,16,Mar-18,26.06,7.16,21.8,0,0,T20,Bowling
FH Edwards (WI),2007-2012,20,20,60,0,497,16,Mar-23,31.06,8.28,22.5,0,0,T20,Bowling
CB Mpofu (Zim),2008-2015,18,18,64,0,548,16,Mar-16,34.25,8.56,24,0,0,T20,Bowling
NN Odhiambo (Kenya),2007-2013,24,21,56.1,1,468,16,May-20,29.25,8.33,21,0,1,T20,Bowling
JS Patel (NZ),2005-2008,11,10,33.1,1,269,16,Mar-20,16.81,8.11,12.4,0,0,T20,Bowling
