Rizwan Cheema (Can),2008-2013,16,16,1,238,68,15.86,219,108.67,0,1,3,23,15,T20,Batting
Najibullah Zadran (Afg),2012-2015,14,11,1,237,44,23.7,171,138.59,0,0,0,12,14,T20,Batting
P Khadka (Nepal),2014-2015,11,11,1,236,54,23.6,231,102.16,0,1,1,19,1,T20,Batting
RE Levi (SA),2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15,T20,Batting
C Munro (NZ),2012-2015,18,16,4,236,73*,19.66,170,138.82,0,1,1,18,12,T20,Batting
YK Pathan (India),2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17,T20,Batting
DM Bravo (WI),2010-2014,12,11,0,235,42,21.36,210,111.9,0,0,2,20,9,T20,Batting
ES Szwarczynski (Neth),2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2,T20,Batting
JF Mooney (Ire),2009-2015,27,23,9,231,31*,16.5,214,107.94,0,0,0,25,1,T20,Batting
F Behardien (SA),2012-2015,23,16,7,229,36,25.44,198,115.65,0,0,1,18,5,T20,Batting
AR Cusack (Ire),2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6,T20,Batting
Aftab Ahmed (Ban),2006-2010,11,11,1,228,62*,22.8,178,128.08,0,1,0,26,6,T20,Batting
T Mishra (Kenya),2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4,T20,Batting
MN van Wyk (SA),2007-2015,8,7,1,225,114*,37.5,157,143.31,1,1,0,19,14,T20,Batting
MH Cross (Scot),2013-2015,12,8,0,224,60,28,142,157.74,0,1,0,29,7,T20,Batting
SE Marsh (Aus),2008-2013,13,13,1,223,47*,18.58,213,104.69,0,0,2,12,10,T20,Batting
H Patel (Can),2010-2013,11,11,1,220,88*,22,218,100.91,0,1,2,19,2,T20,Batting
TT Bresnan (Eng),2006-2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6,T20,Batting
DO Obuya (Kenya),2007-2012,10,10,2,216,65*,27,228,94.73,0,2,1,22,4,T20,Batting
RN ten Doeschate (Neth),2008-2010,9,9,4,214,56,42.8,166,128.91,0,1,0,11,7,T20,Batting
RG Aga (Kenya),2008-2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5,T20,Batting
CA Ingram (SA),2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7,T20,Batting
DL Vettori (NZ),2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2,T20,Batting
MS Wade (Aus),2011-2015,23,14,4,204,72,20.4,173,117.91,0,1,0,11,8,T20,Batting
JM Kemp (SA),2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10,T20,Batting
