AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.9,1,14,13,ODI,Batting
AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,ODI,Batting
M Kaif (India),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,ODI,Batting
SV Carlisle (Zim),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,ODI,Batting
Salman Butt (Pak),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,ODI,Batting
S Dhawan (India),2010-2015,67,66,3,2724,137,43.23,3050,89.31,8,14,2,ODI,Batting
RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,ODI,Batting
GJ Whittall (Zim),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12,ODI,Batting
RS Bopara (Eng),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,ODI,Batting
Mudassar Nazar (Pak),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,ODI,Batting
F du Plessis (SA),2011-2015,80,77,8,2626,126,38.05,3128,83.95,4,19,1,ODI,Batting
Zaheer Abbas (Pak),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,ODI,Batting
Mahmudullah (Ban),2007-2015,122,105,29,2564,128*,33.73,3479,73.69,2,13,6,ODI,Batting
AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,ODI,Batting
VG Kambli (India),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,ODI,Batting
Ahmed Shehzad (Pak),2009-2015,72,72,1,2472,124,34.81,3395,72.81,6,13,6,ODI,Batting
WTS Porterfield (Ire),2006-2015,84,83,3,2460,112*,30.75,3706,66.37,7,11,5,ODI,Batting
SC Williams (Zim),2005-2015,89,87,13,2437,96,32.93,3002,81.17,0,23,5,ODI,Batting
JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,ODI,Batting
TM Odoyo (Afr/Kenya),1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13,ODI,Batting
RA Smith (Eng),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,ODI,Batting
L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,ODI,Batting
GP Thorpe (Eng),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3,ODI,Batting
HDRL Thirimanne (SL),2010-2015,99,80,10,2376,139*,33.94,3301,71.97,4,14,5,ODI,Batting
KJ O'Brien (Ire),2006-2015,94,85,11,2340,142,31.62,2786,83.99,2,11,5,ODI,Batting
VVS Laxman (India),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,ODI,Batting
RR Singh (India),1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5,ODI,Batting
N Hussain (Eng),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6,ODI,Batting
GS Chappell (Aus),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,ODI,Batting
LD Chandimal (SL),2010-2015,100,90,16,2298,111,31.05,3024,75.99,2,14,9,ODI,Batting
SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9,ODI,Batting
DL Vettori (ICC/NZ),1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23,ODI,Batting
GJ Bailey (Aus),2012-2015,63,60,7,2236,156,42.18,2625,85.18,2,17,2,ODI,Batting
S Matsikenyeri (Zim),2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8,ODI,Batting
DM Bravo (WI),2009-2015,81,78,10,2220,124,32.64,3149,70.49,2,16,7,ODI,Batting
GM Wood (Aus),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,ODI,Batting
MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,ODI,Batting
JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,ODI,Batting
Shahriar Nafees (Ban),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11,ODI,Batting
DA Warner (Aus),2009-2015,65,63,2,2191,178,35.91,2433,90.05,4,12,2,ODI,Batting
Habibul Bashar (Ban),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18,ODI,Batting
IT Botham (Eng),1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6,ODI,Batting
MW Gatting (Eng),1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4,ODI,Batting
CJ Chibhabha (Zim),2005-2015,83,83,2,2093,99,25.83,3258,64.24,0,15,5,ODI,Batting
NH Fairbrother (Eng),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,ODI,Batting
RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8,ODI,Batting
JE Root (Eng),2013-2015,59,55,6,2076,121,42.36,2492,83.3,6,9,2,ODI,Batting
CO Obuya (Kenya),2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6,ODI,Batting
KA Pollard (WI),2007-2014,91,85,4,2042,119,25.2,2180,93.66,3,7,11,ODI,Batting
CL White (Aus),2005-2015,88,74,15,2037,105,34.52,2533,80.41,2,11,4,ODI,Batting
PR Stirling (Ire),2008-2015,62,61,1,2033,177,33.88,2175,93.47,5,9,4,ODI,Batting
Yasir Hameed (Pak),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2,ODI,Batting
WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25,ODI,Batting
KO Otieno (Kenya),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12,ODI,Batting
SV Manjrekar (India),1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3,ODI,Batting
MP Vaughan (Eng),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9,ODI,Batting
CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,ODI,Batting
KJ Hughes (Aus),1977-1985,97,88,6,1968,98,24,2919,67.42,0,17,12,ODI,Batting
A Bagai (Can),2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2,ODI,Batting
LMP Simmons (WI),2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9,ODI,Batting
Aftab Ahmed (Ban),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8,ODI,Batting
NJ O'Brien (Ire),2006-2015,74,73,8,1954,80*,30.06,2759,70.82,0,15,3,ODI,Batting
PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8,ODI,Batting
M Amarnath (India),1975-1989,85,75,12,1924,102*,30.53,3334,57.7,2,13,2,ODI,Batting
D Ramdin (WI),2005-2015,127,98,21,1911,169,24.81,2331,81.98,2,7,4,ODI,Batting
KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,ODI,Batting
Imran Nazir (Pak),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10,ODI,Batting
Mohsin Khan (Pak),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3,ODI,Batting
JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,ODI,Batting
DJG Sammy (WI),2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4,ODI,Batting
AJ Finch (Aus),2013-2015,52,50,1,1865,148,38.06,2133,87.43,6,9,5,ODI,Batting
RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11,ODI,Batting
GD Elliott (NZ),2008-2015,78,64,11,1863,115,35.15,2270,82.07,2,10,5,ODI,Batting
