AI Kallicharran (WI),1972-1981,66,109,10,4399,187,44.43,12,21,10,Test,Batting
APE Knott (Eng),1967-1981,95,149,15,4389,135,32.75,5,30,8,Test,Batting
M Amarnath (India),1969-1988,69,113,10,4378,138,42.5,11,24,12,Test,Batting
IA Healy (Aus),1988-1999,119,182,23,4356,161*,27.39,4,22,18,Test,Batting
RC Fredericks (WI),1968-1977,59,109,7,4334,169,42.49,8,26,7,Test,Batting
MA Butcher (Eng),1997-2004,71,131,7,4288,173*,34.58,8,23,10,Test,Batting
PD Collingwood (Eng),2003-2011,68,115,10,4259,206,40.56,10,20,6,Test,Batting
RA Smith (Eng),1988-1996,62,112,15,4236,175,43.67,9,28,8,Test,Batting
SM Katich (Aus),2001-2010,56,99,6,4188,157,45.03,10,25,4,Test,Batting
Mudassar Nazar (Pak),1976-1989,76,116,8,4114,231,38.09,10,17,7,Test,Batting
MJ Prior (Eng),2007-2014,79,123,21,4099,131*,40.18,7,28,13,Test,Batting
Misbah-ul-Haq (Pak),2001-2015,59,102,17,4054,161*,47.69,8,30,6,Test,Batting
Saeed Anwar (Pak),1990-2001,55,91,2,4052,188*,45.52,11,25,8,Test,Batting
G Gambhir (India),2004-2014,56,100,5,4046,206,42.58,9,21,6,Test,Batting
Majid Khan (Pak),1964-1983,63,106,5,3931,167,38.92,8,19,9,Test,Batting
Hanif Mohammad (Pak),1952-1969,55,97,8,3915,337,43.98,12,15,5,Test,Batting
FMM Worrell (WI),1948-1963,51,87,9,3860,261,49.48,9,22,11,Test,Batting
AD Mathews (SL),2009-2015,53,91,17,3849,160,52.01,7,22,1,Test,Batting
A Flintoff (Eng/ICC),1998-2009,79,130,9,3845,167,31.77,5,26,17,Test,Batting
IJL Trott (Eng),2009-2015,52,93,6,3835,226,44.08,9,19,8,Test,Batting
RJ Shastri (India),1981-1992,80,121,14,3830,206,35.79,11,12,9,Test,Batting
Imran Khan (Pak),1971-1992,88,126,25,3807,136,37.69,6,18,8,Test,Batting
CL Walcott (WI),1948-1960,44,74,7,3798,220,56.68,15,14,1,Test,Batting
SM Pollock (SA),1995-2008,108,156,39,3781,111,32.31,2,16,9,Test,Batting
SR Watson (Aus),2005-2015,59,109,3,3731,176,35.19,4,24,6,Test,Batting
WJ Cronje (SA),1992-2000,68,111,9,3714,135,36.41,6,23,11,Test,Batting
AG Prince (SA),2002-2011,66,104,16,3665,162*,41.64,11,11,7,Test,Batting
DA Warner (Aus),2011-2015,43,81,3,3649,180,46.78,12,19,5,Test,Batting
Mushtaq Mohammad (Pak),1959-1979,57,100,7,3643,201,39.17,10,19,4,Test,Batting
RW Marsh (Aus),1970-1984,96,150,13,3633,132,26.51,3,16,12,Test,Batting
DM Jones (Aus),1984-1992,52,89,11,3631,216,46.55,11,14,11,Test,Batting
PR Umrigar (India),1948-1962,59,94,8,3631,223,42.22,12,14,5,Test,Batting
DL Amiss (Eng),1966-1977,50,88,10,3612,262*,46.3,11,11,10,Test,Batting
AW Greig (Eng),1972-1977,58,93,4,3599,148,40.43,8,20,5,Test,Batting
Asif Iqbal (Pak),1964-1980,58,99,7,3575,175,38.85,11,12,9,Test,Batting
MN Samuels (WI),2000-2015,60,107,6,3568,260,35.32,7,22,11,Test,Batting
AR Morris (Aus),1946-1955,46,79,3,3533,206,46.48,12,12,4,Test,Batting
EH Hendren (Eng),1920-1935,51,83,9,3525,205*,47.63,7,21,4,Test,Batting
B Mitchell (SA),1929-1949,42,80,9,3471,189*,48.88,8,21,3,Test,Batting
GW Flower (Zim),1992-2004,67,123,6,3457,201*,29.54,6,15,16,Test,Batting
BE Congdon (NZ),1965-1978,61,114,7,3448,176,32.22,7,19,9,Test,Batting
JR Reid (NZ),1949-1965,58,108,5,3428,142,33.28,6,22,5,Test,Batting
C Hill (Aus),1896-1912,49,89,2,3412,191,39.21,7,19,9,Test,Batting
Azhar Ali (Pak),2010-2015,44,82,5,3393,226,44.06,9,20,7,Test,Batting
GA Hick (Eng),1991-2001,65,114,6,3383,178,31.32,6,18,11,Test,Batting
GM Wood (Aus),1978-1988,59,112,6,3374,172,31.83,9,13,9,Test,Batting
